taxonomy,layer,norm_f1_mean,norm_f1_lower,norm_f1_upper
plutchik_wheel,38,0.2864602861859163,0.2443087480786901,0.3690969086452511
plutchik_wheel,39,0.31128435254123304,0.2662299764401443,0.39699647543686517
plutchik_wheel,40,0.2734673847501766,0.23872257334853186,0.3415425131567879
plutchik_wheel,41,0.2841358063655897,0.24361930637296378,0.3651679669631436
plutchik_wheel,42,0.2903239878994425,0.24911101667015292,0.37189883456284156
plutchik_wheel,43,0.2944966082328654,0.255354513638393,0.365780839250371
plutchik_wheel,44,0.28815534884848837,0.24682080988669142,0.3716743188236804
plutchik_wheel,45,0.28870463040839267,0.24443961824357946,0.37642504333203675
plutchik_wheel,46,0.28484926713026554,0.2412580057669984,0.36989958699247016
plutchik_wheel,47,0.32191798117090586,0.27775841205520935,0.40922291874674616
