taxonomy,layer,norm_f1_mean,norm_f1_std,norm_f1_p2_5,norm_f1_p5,norm_f1_p16,norm_f1_p25,norm_f1_p75,norm_f1_p84,norm_f1_p95,norm_f1_p97_5
ekman_basic_emotions,27,0.25541505311223284,0.011684195482081206,0.2333077662573142,0.23660158868304526,0.24376357088380138,0.24730545530067283,0.2632472189256537,0.2669808112411634,0.27515274177289506,0.2789573005107769
ekman_basic_emotions,28,0.27688398301566436,0.016141416104609313,0.24650839375614791,0.25107469880568706,0.26077043611221373,0.26569040030872304,0.2873698699118,0.2927051333719729,0.30466518969199696,0.3106006673389576
ekman_basic_emotions,29,0.2808941303206,0.01652055147427319,0.2501656369984795,0.2544449170699616,0.26436542866602175,0.26951357636767814,0.2916952495950034,0.29731679269914224,0.30911505989668414,0.31498358187430353
ekman_basic_emotions,30,0.25916591360475566,0.012352347116592836,0.23532425676409435,0.238954578964187,0.2468505675637617,0.25074221987880374,0.26746227481950513,0.27135872957035356,0.2797475333907696,0.2837998499160117
ekman_basic_emotions,31,0.2762207688215908,0.015440808219429112,0.24806358816206214,0.25223714845856315,0.2609821592052125,0.2654993436873607,0.2862835632321631,0.29191361683596667,0.30292435630586534,0.30837544672235845
go_emotions,0,-3.699524455390087e-05,0.00020652319226230833,-0.0004344691758531349,-0.00037109653023925665,-0.00024469801135412257,-0.0001816715061514893,0.00010053224457091814,0.0001638602795125037,0.00030291692442876506,0.00038170925974653324
go_emotions,1,0.08858570832751389,0.005815894346427067,0.07758166522326604,0.07921804037208094,0.08277631269857294,0.08460827935178149,0.09239148045753684,0.0943490444201461,0.09829387297526268,0.1003204479601511
go_emotions,2,0.0927288926448782,0.006047186314324281,0.08165033078877101,0.0831519746382777,0.08668432501217255,0.08852707903410334,0.09665870297956955,0.0987729874777566,0.1030757311039546,0.10523333188833259
go_emotions,3,0.0969667722790544,0.006674026444428826,0.08435755415493912,0.08635676433146025,0.09034202592619973,0.09230406735543134,0.10144454042586223,0.10356541565991059,0.10819728161294838,0.11064841660317479
go_emotions,4,0.09161649709206071,0.005691740012550887,0.08079414398176943,0.08248128780938736,0.08600195169504704,0.0877022532584773,0.09533662814337407,0.09727931352542915,0.10134769337041083,0.10314406297311912
go_emotions,5,0.10524808844663973,0.006632053019520249,0.09315304268951263,0.09481413467849062,0.09869707425290565,0.10061201366632826,0.10960414341620779,0.11188613987900474,0.11674852654730933,0.11900436115707193
go_emotions,6,0.11229114913819382,0.007360746740093644,0.09852375469003864,0.1004975624992793,0.10499300520336856,0.1071628377974789,0.11705025354872865,0.11973381765847525,0.12473982280034798,0.12713984946404527
go_emotions,7,0.1252057169985692,0.008104028781804684,0.11009802144991573,0.11242674374577087,0.11702177799007936,0.11963890593964743,0.13056846893589732,0.13330993972269037,0.138826500122351,0.141527091236303
go_emotions,8,0.13416826777414628,0.007587411790811891,0.1201748194329452,0.1220912752736562,0.12658108728498385,0.12884477667836533,0.1392577357108475,0.14168303849810518,0.14691486716128693,0.14946875176968044
go_emotions,9,0.1300028333258847,0.0072128180690832055,0.11664829902138163,0.11862150427596661,0.1228682734483,0.12495956812287365,0.13461724430425048,0.13709801519441622,0.14234384710754508,0.1450286031301659
go_emotions,10,0.13385595512154624,0.007529120199180121,0.1199048412458195,0.12208086400283824,0.12639864487534322,0.12859226289913755,0.13879352622257293,0.1413444089402386,0.14666795758259815,0.14969926624991503
go_emotions,11,0.14607020038400154,0.008336101901565886,0.13051277593170005,0.1328151083472456,0.13786841236463807,0.1402963629284806,0.15156920417795194,0.15431284907198775,0.16019792177635134,0.16334309497566218
go_emotions,12,0.16058791521514398,0.009541142526668153,0.14258487585701235,0.14523853389696337,0.15105911032497957,0.15389096159626386,0.16698137572476163,0.17023904092084413,0.17664609272461435,0.17968914114278078
go_emotions,13,0.1650167825532133,0.009275534596545853,0.14772925583080654,0.1504745903335727,0.15588894477904588,0.15852035246717724,0.17105768897502618,0.17434234799526216,0.1808509243518702,0.18400932775103812
go_emotions,14,0.1749411855084081,0.009635127245899124,0.15720189278974306,0.15948691124179526,0.16536279353954644,0.16822370760979855,0.1812729764444352,0.18450436213539811,0.19133748846520854,0.19488551590226535
go_emotions,15,0.17808203437158424,0.00987260515893198,0.1598196147653302,0.16233240041472105,0.1682648590471389,0.17116852430740798,0.18453401219120658,0.18792432306391907,0.19485667836299053,0.19832044527488935
go_emotions,16,0.19143802265908025,0.010389793220332271,0.1721613262333396,0.1748894511583276,0.18103744842174824,0.18420498460994889,0.1982701109465067,0.20183387977634942,0.20904338034226427,0.2125210492132824
